Name,SKU,Category,Brand,Size,Trap,Badge,Unit,Is Active
Valkin 1001,1001,One Piece Closet,Toris,L 650 × W 370 × H 740 mm,"S trap 225 mm (9"")",,Piece,Yes
Valorant 1002,1002,One Piece Closet,Toris,L 650 × W 360 × H 735 mm,"S trap 225 mm (9"")",,Piece,Yes
Vox 1003,1003,One Piece Closet,Toris,L 650 × W 360 × H 730 mm,"S trap 225, 300 mm (9"", 12"")",,Piece,Yes
Verna 1004,1004,One Piece Closet,Toris,L 655 × W 360 × H 730 mm,"S trap 225 mm (9"")",New Arrival,Piece,Yes
Venus 1005,1005,One Piece Closet,Toris,L 690 × W 360 × H 775 mm,"S trap 225, 300 mm (9"", 12"")",,Piece,Yes
Vintage 1006,1006,One Piece Closet,Toris,L 710 × W 360 × H 760 mm,"S trap 225 mm (9"")",,Piece,Yes
Vibe 1007,1007,One Piece Closet,Toris,L 700 × W 365 × H 740 mm,"S trap 225 mm (9"")",,Piece,Yes
Metro 1008,1008,One Piece Closet,Toris,L 660 × W 370 × H 730 mm,"S trap 225 mm (9"") · P trap 180 mm (7"")",New Arrival,Piece,Yes
Vedant 1009,1009,One Piece Closet,Toris,L 660 × W 360 × H 735 mm,"S trap 225 mm (9"") · P trap 180 mm (7"")",New Arrival,Piece,Yes
Viper 1010,1010,One Piece Closet,Toris,L 640 × W 360 × H 720 mm,"S trap 100, 225, 300 mm (4"", 9"", 12"") · P trap 180 mm (7"")",,Piece,Yes
Victo 1011,1011,One Piece Closet,Toris,L 665 × W 360 × H 750 mm,"S trap 225, 300 mm (9"", 12"") · P trap 180 mm (7"")",,Piece,Yes
Vero 1012,1012,One Piece Closet,Toris,L 640 × W 360 × H 730 mm,"S trap 225, 300 mm (9"", 12"") · P trap 180 mm (7"")",,Piece,Yes
Violin 1013,1013,One Piece Closet,Toris,L 665 × W 360 × H 740 mm,"S trap 225, 300 mm (9"", 12"") · P trap 180 mm (7"")",,Piece,Yes
Valley 1014,1014,One Piece Closet,Toris,L 640 × W 355 × H 730 mm,"S trap 225 mm (9"") · P trap 180 mm (7"")",,Piece,Yes
Volvo 1015,1015,One Piece Closet,Toris,L 700 × W 360 × H 750 mm,"S trap 100, 225, 300 mm (4"", 9"", 12"") · P trap 180 mm (7"")",,Piece,Yes
Vision 1016,1016,One Piece Closet,Toris,L 650 × W 355 × H 685 mm,"S trap 225 mm (9"") · P trap 180 mm (7"")",,Piece,Yes
Volter 1017,1017,One Piece Closet,Toris,L 660 × W 360 × H 705 mm,"S trap 225 mm (9"") · P trap 180 mm (7"")",,Piece,Yes
Vista 1018,1018,One Piece Closet,Toris,L 710 × W 375 × H 690 mm,"S trap 225 mm (9"") · P trap 180 mm (7"")",,Piece,Yes
Vector 1019,1019,One Piece Closet,Toris,L 700 × W 380 × H 670 mm,"S trap 225 mm (9"") · P trap 180 mm (7"")",,Piece,Yes
Villa 1020,1020,One Piece Closet,Toris,L 680 × W 380 × H 710 mm,"S trap 225 mm (9"") · P trap 180 mm (7"")",,Piece,Yes
Scala 2001,2001,Wall Hung Closet,Toris,L 555 × W 360 × H 390 mm,,,Piece,Yes
Sydney 2002,2002,Wall Hung Closet,Toris,L 535 × W 350 × H 365 mm,,,Piece,Yes
Silver 2003,2003,Wall Hung Closet,Toris,L 510 × W 360 × H 340 mm,,New Arrival,Piece,Yes
Spark 2004,2004,Wall Hung Closet,Toris,L 470 × W 435 × H 365 mm,,New Arrival,Piece,Yes
Sweden 2005,2005,Wall Hung Closet,Toris,L 480 × W 340 × H 350 mm,,New Arrival,Piece,Yes
Spiral 2006,2006,Wall Hung Closet,Toris,L 480 × W 360 × H 350 mm,,New Arrival,Piece,Yes
Zeta 2007,2007,Wall Hung Closet,Toris,L 480 × W 340 × H 350 mm,,New Arrival,Piece,Yes
Stalon 2008,2008,Wall Hung Closet,Toris,L 535 × W 360 × H 360 mm,,,Piece,Yes
Sword 2009,2009,Wall Hung Closet,Toris,L 530 × W 360 × H 380 mm,,,Piece,Yes
Summer 2010,2010,Wall Hung Closet,Toris,L 490 × W 365 × H 340 mm,,,Piece,Yes
Studio 2011,2011,Wall Hung Closet,Toris,L 485 × W 350 × H 365 mm,,,Piece,Yes
Salvia 2012,2012,Wall Hung Closet,Toris,L 480 × W 345 × H 360 mm,,,Piece,Yes
Sam 2013,2013,Wall Hung Closet,Toris,L 535 × W 360 × H 360 mm,,,Piece,Yes
Soul 2014,2014,Wall Hung Closet,Toris,L 520 × W 370 × H 360 mm,,,Piece,Yes
Soccer 2015,2015,Wall Hung Closet,Toris,L 510 × W 365 × H 360 mm,,,Piece,Yes
Skoda 2016,2016,Wall Hung Closet,Toris,L 510 × W 350 × H 370 mm,,,Piece,Yes
Squat 2017,2017,Wall Hung Closet,Toris,L 515 × W 360 × H 355 mm,,New Arrival,Piece,Yes
Sunny 2018,2018,Wall Hung Closet,Toris,L 495 × W 365 × H 375 mm,,New Arrival,Piece,Yes
Snow 2019,2019,Wall Hung Closet,Toris,L 520 × W 365 × H 350 mm,,,Piece,Yes
Smart 2020,2020,Wall Hung Closet,Toris,L 500 × W 350 × H 360 mm,,,Piece,Yes
Shark 2021,2021,Wall Hung Closet,Toris,L 550 × W 390 × H 380 mm,,,Piece,Yes
Spirit 2022,2022,Wall Hung Closet,Toris,L 520 × W 360 × H 350 mm,,,Piece,Yes
Sigma 2023,2023,Wall Hung Closet,Toris,L 490 × W 355 × H 330 mm,,,Piece,Yes
Smoke 2024,2024,Wall Hung Closet,Toris,L 550 × W 370 × H 350 mm,,,Piece,Yes
Elegant 2025,2025,Wall Hung Closet,Toris,L 535 × W 350 × H 360 mm,,New Arrival,Piece,Yes
Star 2026,2026,Wall Hung Closet,Toris,L 500 × W 370 × H 375 mm,,,Piece,Yes
Silk 2027,2027,Wall Hung Closet,Toris,L 510 × W 365 × H 340 mm,,,Piece,Yes
Satin 2028,2028,Wall Hung Closet,Toris,L 520 × W 365 × H 345 mm,,,Piece,Yes
Sun 2029,2029,Wall Hung Closet,Toris,L 520 × W 370 × H 370 mm,,,Piece,Yes
Style Rimless 2030,2030,Wall Hung Closet,Toris,L 510 × W 360 × H 370 mm,,,Piece,Yes
Style 2031,2031,Wall Hung Closet,Toris,L 510 × W 370 × H 370 mm,,,Piece,Yes
Stone 2032,2032,Wall Hung Closet,Toris,L 550 × W 350 × H 380 mm,,,Piece,Yes
Santa 2033,2033,Wall Hung Closet,Toris,L 500 × W 350 × H 360 mm,,,Piece,Yes
Simon 2034,2034,Wall Hung Closet,Toris,L 550 × W 390 × H 390 mm,,,Piece,Yes
Sand 2035,2035,Wall Hung Closet,Toris,L 495 × W 360 × H 330 mm,,,Piece,Yes
Simple 2036,2036,Wall Hung Closet,Toris,L 580 × W 370 × H 340 mm,,,Piece,Yes
Strike 3001,3001,Water Closet,Toris,L 545 × W 370 × H 410 mm,"S trap 100 mm (4"")",,Piece,Yes
Sicasa 3002,3002,Water Closet,Toris,L 515 × W 355 × H 400 mm,"S trap 100 mm (4"") · P trap 180 mm (7"")",,Piece,Yes
Selfie 3003,3003,Water Closet,Toris,L 500 × W 360 × H 400 mm,"S trap 100 mm (4"") · P trap 175 mm (7"")",,Piece,Yes
Super 3004,3004,Water Closet,Toris,L 520 × W 365 × H 400 mm,"S trap 100 mm (4"") · P trap 180 mm (7"")",,Piece,Yes
Solid 3005,3005,Water Closet,Toris,L 530 × W 360 × H 400 mm,"S trap 85 mm (4"") · P trap 180 mm (7"")",,Piece,Yes
Spring 3006,3006,Water Closet,Toris,L 550 × W 370 × H 400 mm,"S trap 95 mm (4"") · P trap 180 mm (7"")",,Piece,Yes
Spice 3007,3007,Water Closet,Toris,L 515 × W 390 × H 400 mm,"S trap 110 mm (4"")",,Piece,Yes
Saint 3008,3008,Water Closet,Toris,L 510 × W 350 × H 400 mm,"S trap 105 mm (4"")",,Piece,Yes
Concealed 3009,3009,Water Closet,Toris,L 580 × W 370 × H 400 mm,"S trap 100 mm (4"")",,Piece,Yes
Shine S 3010,3010,Water Closet,Toris,L 470 × W 360 × H 400 mm,"S trap 100 mm (4"")",,Piece,Yes
Shine P 3011,3011,Water Closet,Toris,L 470 × W 360 × H 400 mm,"P trap 180 mm (7"")",,Piece,Yes
EWC S 3012,3012,Water Closet,Toris,L 470 × W 360 × H 395 mm,,,Piece,Yes
EWC P 3013,3013,Water Closet,Toris,L 470 × W 360 × H 395 mm,,,Piece,Yes
Anglo S 3014,3014,Water Closet,Toris,L 570 × W 470 × H 400 mm,,,Piece,Yes
Anglo P 3015,3015,Water Closet,Toris,L 570 × W 470 × H 400 mm,,,Piece,Yes
Levit 4001,4001,Table Top Basin,Toris,"L 360 × W 360 × H 445 mm (14""x14""x18"")",,,Piece,Yes
Lancer 4002,4002,Table Top Basin,Toris,"L 360 × W 360 × H 440 mm (14""x14""x17"")",,,Piece,Yes
Leo 4003,4003,Table Top Basin,Toris,"L 410 × W 410 × H 270 mm (16""x16""x11"")",,New Arrival,Piece,Yes
Aerial 4004,4004,Table Top Basin,Toris,"L 910 × W 420 × H 135 mm (36""x17""x5"")",,,Piece,Yes
Arena A 4005,4005,Table Top Basin,Toris,"L 840 × W 320 × H 115 mm (34""x13""x5"")",,New Arrival,Piece,Yes
Arena B 4006,4006,Table Top Basin,Toris,"L 830 × W 315 × H 140 mm (33""x12""x6"")",,New Arrival,Piece,Yes
Titanic 4007,4007,Table Top Basin,Toris,"L 825 × W 415 × H 125 mm (32""x16""x5"")",,,Piece,Yes
Titanic Plus 4008,4008,Table Top Basin,Toris,"L 825 × W 420 × H 135 mm (32""x17""x5"")",,,Piece,Yes
Trey 4009,4009,Table Top Basin,Toris,"L 805 × W 400 × H 140 mm (32""x16""x6"")",,,Piece,Yes
Tan 4010,4010,Table Top Basin,Toris,"L 765 × W 385 × H 140 mm (30""x15""x6"")",,,Piece,Yes
Tomb A 4011,4011,Table Top Basin,Toris,"L 760 × W 395 × H 140 mm (30""x16""x6"")",,,Piece,Yes
Aviva 4012,4012,Table Top Basin,Toris,"L 720 × W 420 × H 130 mm (28""x17""x5"")",,,Piece,Yes
Asian A 4013,4013,Table Top Basin,Toris,"L 700 × W 380 × H 135 mm (28""x15""x5"")",,,Piece,Yes
Ample 4014,4014,Table Top Basin,Toris,"L 650 × W 415 × H 140 mm (26""x16""x6"")",,,Piece,Yes
Ambose 4015,4015,Table Top Basin,Toris,"L 620 × W 410 × H 155 mm (24""x16""x6"")",,,Piece,Yes
Aquant 4016,4016,Table Top Basin,Toris,"L 620 × W 350 × H 115 mm (24""x14""x5"")",,,Piece,Yes
Tribe 4017,4017,Table Top Basin,Toris,"L 620 × W 375 × H 120 mm (24""x15""x5"")",,,Piece,Yes
Trillion 4018,4018,Table Top Basin,Toris,"L 615 × W 415 × H 125 mm (24""x16""x5"")",,,Piece,Yes
Taj 4019,4019,Table Top Basin,Toris,"L 610 × W 410 × H 130 mm (24""x16""x5"")",,,Piece,Yes
Tomb B 4020,4020,Table Top Basin,Toris,"L 610 × W 410 × H 145 mm (24""x16""x6"")",,,Piece,Yes
Audi 4021,4021,Table Top Basin,Toris,"L 615 × W 360 × H 150 mm (24""x14""x6"")",,,Piece,Yes
Asian B 4022,4022,Table Top Basin,Toris,"L 605 × W 380 × H 140 mm (24""x15""x6"")",,,Piece,Yes
Aqua 4023,4023,Table Top Basin,Toris,"L 580 × W 415 × H 165 mm (23""x16""x6"")",,,Piece,Yes
Axe 4024,4024,Table Top Basin,Toris,"L 590 × W 400 × H 140 mm (23""x16""x6"")",,,Piece,Yes
Tye 4025,4025,Table Top Basin,Toris,"L 560 × W 380 × H 150 mm (22""x15""x6"")",,,Piece,Yes
Tub 4026,4026,Table Top Basin,Toris,"L 560 × W 385 × H 150 mm (22""x15""x6"")",,,Piece,Yes
Trent A 4027,4027,Table Top Basin,Toris,"L 550 × W 390 × H 120 mm (22""x15""x5"")",,,Piece,Yes
Trent B 4028,4028,Table Top Basin,Toris,"L 550 × W 390 × H 120 mm (22""x15""x5"")",,,Piece,Yes
Acecon 4029,4029,Table Top Basin,Toris,"L 595 × W 450 × H 180 mm (23""x18""x7"")",,,Piece,Yes
Astrik 4030,4030,Table Top Basin,Toris,"L 540 × W 390 × H 145 mm (21""x15""x6"")",,,Piece,Yes
Travel 4031,4031,Table Top Basin,Toris,"L 535 × W 420 × H 145 mm (21""x17""x6"")",,,Piece,Yes
Timber 4032,4032,Table Top Basin,Toris,"L 520 × W 385 × H 150 mm (20""x15""x6"")",,,Piece,Yes
Adobe 4033,4033,Table Top Basin,Toris,"L 520 × W 430 × H 120 mm (20""x17""x5"")",,,Piece,Yes
Tokyo 4034,4034,Table Top Basin,Toris,"L 510 × W 400 × H 145 mm (20""x16""x6"")",,,Piece,Yes
Theory A 4035,4035,Table Top Basin,Toris,"L 500 × W 380 × H 110 mm (20""x15""x4"")",,,Piece,Yes
Town 4036,4036,Table Top Basin,Toris,"L 500 × W 370 × H 145 mm (20""x15""x6"")",,,Piece,Yes
Twin 4037,4037,Table Top Basin,Toris,"L 490 × W 375 × H 130 mm (19""x15""x5"")",,,Piece,Yes
Terrazzo 4038,4038,Table Top Basin,Toris,"L 505 × W 320 × H 130 mm (20""x13""x5"")",,,Piece,Yes
Altima 4039,4039,Table Top Basin,Toris,"L 490 × W 300 × H 130 mm (19""x12""x5"")",,,Piece,Yes
Tesla 4040,4040,Table Top Basin,Toris,"L 485 × W 350 × H 140 mm (19""x14""x6"")",,,Piece,Yes
Tessa 4041,4041,Table Top Basin,Toris,"L 480 × W 380 × H 135 mm (19""x15""x5"")",,,Piece,Yes
Thrill 4042,4042,Table Top Basin,Toris,"L 480 × W 300 × H 160 mm (19""x12""x6"")",,,Piece,Yes
Amber 4043,4043,Table Top Basin,Toris,"L 480 × W 370 × H 125 mm (19""x15""x5"")",,,Piece,Yes
Atom 4044,4044,Table Top Basin,Toris,"L 475 × W 340 × H 130 mm (19""x13""x5"")",,,Piece,Yes
Tennis A 4045,4045,Table Top Basin,Toris,"L 475 × W 340 × H 135 mm (19""x13""x5"")",,,Piece,Yes
Florida 4046,4046,Table Top Basin,Toris,"L 470 × W 380 × H 170 mm (19""x15""x7"")",,New Arrival,Piece,Yes
Tailor 4047,4047,Table Top Basin,Toris,"L 470 × W 360 × H 170 mm (19""x14""x7"")",,,Piece,Yes
Alice 4048,4048,Table Top Basin,Toris,"L 465 × W 330 × H 140 mm (18""x13""x6"")",,,Piece,Yes
Torin 4049,4049,Table Top Basin,Toris,"L 465 × W 260 × H 115 mm (18""x10""x5"")",,,Piece,Yes
Tommy 4050,4050,Table Top Basin,Toris,"L 460 × W 340 × H 150 mm (18""x13""x6"")",,,Piece,Yes
Mini Tokyo 4051,4051,Table Top Basin,Toris,"L 460 × W 330 × H 140 mm (18""x13""x6"")",,,Piece,Yes
Asphalt 4052,4052,Table Top Basin,Toris,"L 460 × W 300 × H 140 mm (18""x12""x6"")",,,Piece,Yes
Travis 4053,4053,Table Top Basin,Toris,"L 460 × W 265 × H 120 mm (18""x10""x5"")",,,Piece,Yes
Teza 4054,4054,Table Top Basin,Toris,"L 465 × W 340 × H 150 mm (18""x13""x6"")",,,Piece,Yes
Tuna 4055,4055,Table Top Basin,Toris,"L 410 × W 310 × H 140 mm (16""x12""x6"")",,,Piece,Yes
Texa 4056,4056,Table Top Basin,Toris,"L 410 × W 305 × H 135 mm (16""x12""x5"")",,,Piece,Yes
Theory B 4057,4057,Table Top Basin,Toris,"L 410 × W 410 × H 125 mm (16""x16""x5"")",,,Piece,Yes
Tom A 4058,4058,Table Top Basin,Toris,"L 405 × W 305 × H 140 mm (16""x12""x6"")",,,Piece,Yes
Tom B 4059,4059,Table Top Basin,Toris,"L 410 × W 310 × H 140 mm (16""x12""x6"")",,,Piece,Yes
Tulip 4060,4060,Table Top Basin,Toris,"L 400 × W 325 × H 140 mm (16""x13""x6"")",,,Piece,Yes
Ant 4061,4061,Table Top Basin,Toris,"L 390 × W 390 × H 145 mm (15""x15""x6"")",,,Piece,Yes
Cruze 4062,4062,Table Top Basin,Toris,"L 385 × W 385 × H 125 mm (15""x15""x5"")",,New Arrival,Piece,Yes
Akron 4063,4063,Table Top Basin,Toris,"L 380 × W 380 × H 130 mm (15""x15""x5"")",,,Piece,Yes
Fenta 4064,4064,Table Top Basin,Toris,"L 370 × W 370 × H 165 mm (15""x15""x6"")",,New Arrival,Piece,Yes
Tiago 4065,4065,Table Top Basin,Toris,"L 365 × W 365 × H 175 mm (15""x15""x7"")",,New Arrival,Piece,Yes
Mozio 4066,4066,Table Top Basin,Toris,"L 365 × W 365 × H 175 mm (15""x15""x7"")",,New Arrival,Piece,Yes
Fusion 4067,4067,Table Top Basin,Toris,"L 365 × W 365 × H 155 mm (15""x15""x6"")",,New Arrival,Piece,Yes
Benz 4068,4068,Table Top Basin,Toris,"L 365 × W 365 × H 155 mm (15""x15""x6"")",,New Arrival,Piece,Yes
Toby 4069,4069,Table Top Basin,Toris,"L 365 × W 290 × H 125 mm (14""x11""x5"")",,,Piece,Yes
Tennis B 4070,4070,Table Top Basin,Toris,"L 365 × W 255 × H 105 mm (14""x10""x4"")",,,Piece,Yes
Jolly 4071,4071,Table Top Basin,Toris,"L 360 × W 360 × H 190 mm (14""x14""x8"")",,New Arrival,Piece,Yes
Tony 4072,4072,Table Top Basin,Toris,"L 360 × W 285 × H 135 mm (14""x11""x5"")",,,Piece,Yes
Talent 4073,4073,Table Top Basin,Toris,"L 360 × W 360 × H 130 mm (14""x14""x5"")",,,Piece,Yes
Mini Tailor 4074,4074,Table Top Basin,Toris,"L 350 × W 270 × H 135 mm (14""x11""x5"")",,,Piece,Yes
Toronto 4075,4075,Table Top Basin,Toris,"L 345 × W 345 × H 140 mm (14""x14""x6"")",,,Piece,Yes
Torque 4076,4076,Table Top Basin,Toris,"L 315 × W 250 × H 125 mm (12""x10""x5"")",,,Piece,Yes
Tiny 4077,4077,Table Top Basin,Toris,"L 310 × W 310 × H 140 mm (12""x12""x6"")",,,Piece,Yes
Alpha 4078,4078,Table Top Basin,Toris,"L 310 × W 310 × H 100 mm (12""x12""x4"")",,,Piece,Yes
Alvin 4079,4079,Table Top Basin,Toris,"L 280 × W 280 × H 125 mm (11""x11""x5"")",,,Piece,Yes
Alex 4080,4080,Table Top Basin,Toris,"L 465 × W 365 × H 245 mm (19""x15""x10"")",,New Arrival,Piece,Yes
Toy 4081,4081,Table Top Basin,Toris,"L 650 × W 390 × H 110 mm (26""x15""x4"")",,,Piece,Yes
Jenny A 4082,4082,Table Top Basin,Toris,"L 390 × W 325 × H 130 mm (16""x13""x5"")",,New Arrival,Piece,Yes
Jenny B 4083,4083,Table Top Basin,Toris,"L 390 × W 320 × H 130 mm (16""x13""x5"")",,New Arrival,Piece,Yes
Armani 4084,4084,Table Top Basin,Toris,"L 520 × W 325 × H 120 mm (20""x13""x5"")",,,Piece,Yes
Angel 4085,4085,Table Top Basin,Toris,"L 405 × W 405 × H 170 mm (16""x16""x7"")",,New Arrival,Piece,Yes
Truman 4086,4086,Table Top Basin,Toris,"L 475 × W 365 × H 150 mm (19""x14""x6"")",,,Piece,Yes
Arrow 4087,4087,Table Top Basin,Toris,"L 480 × W 315 × H 130 mm (19""x12""x5"")",,,Piece,Yes
Abroad 4088,4088,Table Top Basin,Toris,"L 405 × W 405 × H 115 mm (16""x16""x5"")",,,Piece,Yes
Troop A 4089,4089,Table Top Basin,Toris,"L 330 × W 330 × H 120 mm (13""x13""x5"")",,,Piece,Yes
Troop B 4090,4090,Table Top Basin,Toris,"L 320 × W 320 × H 120 mm (13""x13""x5"")",,,Piece,Yes
Troop C 4091,4091,Table Top Basin,Toris,"L 320 × W 320 × H 120 mm (13""x13""x5"")",,,Piece,Yes
Troop D 4092,4092,Table Top Basin,Toris,"L 320 × W 320 × H 120 mm (13""x13""x5"")",,,Piece,Yes
Oliver 5001,5001,Counter Basin,Toris,"L 550 × W 395 × H 130 mm (22""x16""x5"")",,,Piece,Yes
Oscar 5002,5002,Counter Basin,Toris,"L 390 × W 390 × H 160 mm (15""x15""x6"")",,,Piece,Yes
Omega 5003,5003,Counter Basin,Toris,"L 420 × W 420 × H 160 mm (17""x17""x6"")",,,Piece,Yes
Opel 5004,5004,Counter Basin,Toris,"L 490 × W 390 × H 170 mm (19""x15""x7"")",,,Piece,Yes
Ocean A 5005,5005,Counter Basin,Toris,"L 465 × W 320 × H 180 mm (18""x13""x7"")",,,Piece,Yes
Ocean B 5006,5006,Counter Basin,Toris,"L 560 × W 400 × H 180 mm (22""x16""x7"")",,,Piece,Yes
Harrier 6001,6001,One Piece Basin,Toris,"L 420 × W 420 × H 860 mm (17""x17""x34"")",,,Piece,Yes
Husky 6002,6002,One Piece Basin,Toris,"L 325 × W 345 × H 820 mm (13""x14""x32"")",,,Piece,Yes
Hornet 6003,6003,One Piece Basin,Toris,"L 410 × W 410 × H 860 mm (16""x16""x34"")",,,Piece,Yes
Hawk 6004,6004,One Piece Basin,Toris,"L 410 × W 410 × H 840 mm (16""x16""x33"")",,,Piece,Yes
Happy 6005,6005,One Piece Basin,Toris,"L 380 × W 380 × H 870 mm (15""x15""x34"")",,,Piece,Yes
Heart 6006,6006,One Piece Basin,Toris,"L 385 × W 385 × H 870 mm (15""x15""x34"")",,,Piece,Yes
Hill 6007,6007,One Piece Basin,Toris,"L 385 × W 385 × H 870 mm (15""x15""x34"")",,,Piece,Yes
Lavish 6051,6051,Wall Integrated Wash Basin,Toris,"L 455 × W 445 × H 760 mm (18""x18""x30"")",,New Arrival,Piece,Yes
Rollence 6052,6052,Wall Integrated Wash Basin,Toris,"L 380 × W 340 × H 630 mm (15""x13""x25"")",,,Piece,Yes
Axel 6053,6053,Wall Integrated Wash Basin,Toris,"L 430 × W 430 × H 405 mm (17""x17""x16"")",,New Arrival,Piece,Yes
Roger 6054,6054,Wall Integrated Wash Basin,Toris,"L 465 × W 460 × H 380 mm (18""x18""x15"")",,,Piece,Yes
Real 6055,6055,Wall Integrated Wash Basin,Toris,"L 470 × W 365 × H 500 mm (19""x14""x20"")",,,Piece,Yes
Raven 6056,6056,Wall Integrated Wash Basin,Toris,"L 410 × W 360 × H 320 mm (16""x14""x13"")",,,Piece,Yes
Ross 6057,6057,Wall Integrated Wash Basin,Toris,"L 360 × W 360 × H 290 mm (14""x14""x11"")",,,Piece,Yes
Roman 6058,6058,Wall Integrated Wash Basin,Toris,"L 350 × W 360 × H 280 mm (14""x14""x11"")",,,Piece,Yes
Rikon 6059,6059,Wall Integrated Wash Basin,Toris,"L 420 × W 400 × H 270 mm (17""x16""x11"")",,,Piece,Yes
Rick 7001,7001,Wash Basin With Full Pedestal,Toris,"L 645 × W 470 × H 900 mm (25""x19""x35"")",,,Piece,Yes
Regaltos 7002,7002,Wash Basin With Full Pedestal,Toris,"L 590 × W 470 × H 825 mm (23""x19""x32"")",,,Piece,Yes
Regalia 7003,7003,Wash Basin With Full Pedestal,Toris,"L 580 × W 435 × H 850 mm (23""x17""x33"")",,,Piece,Yes
Roy 7004,7004,Wash Basin With Full Pedestal,Toris,"L 560 × W 430 × H 870 mm (22""x17""x34"")",,,Piece,Yes
