sku,name,brand,category,image_url,note
MS-ELE-001,Modular Switch & Socket,Anchor,Electrical Accessories,,
MS-PVC-006,UPVC Pipe Fittings Set,Astral,PVC Pipes & Fittings,,
MS-CEI-002,BLDC Energy Saving Fan,Atomberg,Ceiling Fans,,
MS-CEI-004,Economy Ceiling Fan 900mm,Bajaj,Ceiling Fans,,
MS-TAB-002,Wall Mounting Fan 450mm,Bajaj,Table & Wall Fans,,
MS-CEI-003,Decorative Ceiling Fan,Crompton,Ceiling Fans,,
MS-TAB-003,Pedestal Stand Fan 450mm,Crompton,Table & Wall Fans,,
MS-WAT-001,Monoblock Water Pump 1HP,Crompton,Water Pumps & Motors,,
MS-ELE-003,Multicore Flexible Cable,Finolex,Electrical Wires & Cables,,
MS-ELE-002,MCB Circuit Breaker,Havells,Electrical Accessories,,
MS-ELE-002,FRLS Low Smoke Wire,Havells,Electrical Wires & Cables,,
MS-LED-005,LED Flood Light,Havells,LED Lights & Panels,,
MS-TAB-004,Exhaust Fan 250mm,Havells,Table & Wall Fans,,
MS-WAT-004,Self Priming Pump 0.5HP,Havells,Water Pumps & Motors,,
MS-WAT-002,Borewell Submersible Pump,Kirloskar,Water Pumps & Motors,,
MS-PVC-002,PVC Agricultural Water Pipe,Kisan,PVC Pipes & Fittings,,
MS-TAR-003,Agricultural Crop Cover Tirpal,Kisan,Tarpaulin & Tirpal,,
MS-WAT-005,Single Phase Motor Starter,L&T,Water Pumps & Motors,,
MS-ELE-003,Distribution Board,Legrand,Electrical Accessories,,
MS-FEN-003,Chain Link Fencing Mesh,Local,Fencing & Barbed Wire,,
MS-FEN-004,MS Binding Wire,Local,Fencing & Barbed Wire,,
MS-LED-003,LED Batten Tube Light,Philips,LED Lights & Panels,,
MS-ELE-001,FR House Wiring Cable,Polycab,Electrical Wires & Cables,,
MS-ELE-004,Flat Submersible Pump Cable,Polycab,Electrical Wires & Cables,,
MS-PVC-005,PVC Electrical Conduit Pipe,Polycab,PVC Pipes & Fittings,,
MS-ELE-004,PVC Junction Box,Precision,Electrical Accessories,,
MS-PVC-003,SWR Drainage Pipe,Prince,PVC Pipes & Fittings,,
MS-ELE-005,Copper Winding Wire,Rajratan,Electrical Wires & Cables,,
MS-PVC-001,UPVC Water Supply Pipe,Supreme,PVC Pipes & Fittings,,
MS-PVC-004,Borewell Column Pipe,Supreme,PVC Pipes & Fittings,,
MS-TAR-002,Heavy Duty PVC Tarpaulin,Supreme,Tarpaulin & Tirpal,,
MS-LED-001,LED Panel Light Round,Syska,LED Lights & Panels,,
MS-LED-002,LED Panel Light Square,Syska,LED Lights & Panels,,
MS-LED-004,LED Bulb B22,Syska,LED Lights & Panels,,
MS-LED-006,LED Street Light,Syska,LED Lights & Panels,,
MS-TAR-001,HDPE Waterproof Tarpaulin,Tarpolin,Tarpaulin & Tirpal,,
MS-FEN-001,Galvanised Barbed Wire,Tata Wiron,Fencing & Barbed Wire,,
MS-FEN-002,GI Wire All Gauge,Tata Wiron,Fencing & Barbed Wire,,
MS-WAT-003,Openwell Submersible Pump,Texmo,Water Pumps & Motors,,
8051,Thor 8051,Toris,Corner Basin,,
8052,Avante 8052,Toris,Corner Basin,,
8053,Retro A 8053,Toris,Corner Basin,,
8054,Token 8054,Toris,Corner Basin,,
8055,Retro B 8055,Toris,Corner Basin,,
8056,Root 8056,Toris,Corner Basin,,
8057,Robin 8057,Toris,Corner Basin,,
5001,Oliver 5001,Toris,Counter Basin,,
5002,Oscar 5002,Toris,Counter Basin,,
5003,Omega 5003,Toris,Counter Basin,,
5004,Opel 5004,Toris,Counter Basin,,
5005,Ocean A 5005,Toris,Counter Basin,,
5006,Ocean B 5006,Toris,Counter Basin,,
6001,Harrier 6001,Toris,One Piece Basin,,
6002,Husky 6002,Toris,One Piece Basin,,
6003,Hornet 6003,Toris,One Piece Basin,,
6004,Hawk 6004,Toris,One Piece Basin,,
6005,Happy 6005,Toris,One Piece Basin,,
6006,Heart 6006,Toris,One Piece Basin,,
6007,Hill 6007,Toris,One Piece Basin,,
1001,Valkin 1001,Toris,One Piece Closet,,
1002,Valorant 1002,Toris,One Piece Closet,,
1003,Vox 1003,Toris,One Piece Closet,,
1004,Verna 1004,Toris,One Piece Closet,,
1005,Venus 1005,Toris,One Piece Closet,,
1006,Vintage 1006,Toris,One Piece Closet,,
1007,Vibe 1007,Toris,One Piece Closet,,
1008,Metro 1008,Toris,One Piece Closet,,
1009,Vedant 1009,Toris,One Piece Closet,,
1010,Viper 1010,Toris,One Piece Closet,,
1011,Victo 1011,Toris,One Piece Closet,,
1012,Vero 1012,Toris,One Piece Closet,,
1013,Violin 1013,Toris,One Piece Closet,,
1014,Valley 1014,Toris,One Piece Closet,,
1015,Volvo 1015,Toris,One Piece Closet,,
1016,Vision 1016,Toris,One Piece Closet,,
1017,Volter 1017,Toris,One Piece Closet,,
1018,Vista 1018,Toris,One Piece Closet,,
1019,Vector 1019,Toris,One Piece Closet,,
1020,Villa 1020,Toris,One Piece Closet,,
PAN-CITY,City Pan,Toris,Pan,,
PAN-OR20,"Orissa Pan 20""",Toris,Pan,,
PAN-OR23,"Orissa Pan 23""",Toris,Pan,,
4001,Levit 4001,Toris,Table Top Basin,,
4002,Lancer 4002,Toris,Table Top Basin,,
4003,Leo 4003,Toris,Table Top Basin,,
4004,Aerial 4004,Toris,Table Top Basin,,
4005,Arena A 4005,Toris,Table Top Basin,,
4006,Arena B 4006,Toris,Table Top Basin,,
4007,Titanic 4007,Toris,Table Top Basin,,
4008,Titanic Plus 4008,Toris,Table Top Basin,,
4009,Trey 4009,Toris,Table Top Basin,,
4010,Tan 4010,Toris,Table Top Basin,,
4011,Tomb A 4011,Toris,Table Top Basin,,
4012,Aviva 4012,Toris,Table Top Basin,,
4013,Asian A 4013,Toris,Table Top Basin,,
4014,Ample 4014,Toris,Table Top Basin,,
4015,Ambose 4015,Toris,Table Top Basin,,
4016,Aquant 4016,Toris,Table Top Basin,,
4017,Tribe 4017,Toris,Table Top Basin,,
4018,Trillion 4018,Toris,Table Top Basin,,
4019,Taj 4019,Toris,Table Top Basin,,
4020,Tomb B 4020,Toris,Table Top Basin,,
4021,Audi 4021,Toris,Table Top Basin,,
4022,Asian B 4022,Toris,Table Top Basin,,
4023,Aqua 4023,Toris,Table Top Basin,,
4024,Axe 4024,Toris,Table Top Basin,,
4025,Tye 4025,Toris,Table Top Basin,,
4026,Tub 4026,Toris,Table Top Basin,,
4027,Trent A 4027,Toris,Table Top Basin,,
4028,Trent B 4028,Toris,Table Top Basin,,
4029,Acecon 4029,Toris,Table Top Basin,,
4030,Astrik 4030,Toris,Table Top Basin,,
4031,Travel 4031,Toris,Table Top Basin,,
4032,Timber 4032,Toris,Table Top Basin,,
4033,Adobe 4033,Toris,Table Top Basin,,
4034,Tokyo 4034,Toris,Table Top Basin,,
4035,Theory A 4035,Toris,Table Top Basin,,
4036,Town 4036,Toris,Table Top Basin,,
4037,Twin 4037,Toris,Table Top Basin,,
4038,Terrazzo 4038,Toris,Table Top Basin,,
4039,Altima 4039,Toris,Table Top Basin,,
4040,Tesla 4040,Toris,Table Top Basin,,
4041,Tessa 4041,Toris,Table Top Basin,,
4042,Thrill 4042,Toris,Table Top Basin,,
4043,Amber 4043,Toris,Table Top Basin,,
4044,Atom 4044,Toris,Table Top Basin,,
4045,Tennis A 4045,Toris,Table Top Basin,,
4046,Florida 4046,Toris,Table Top Basin,,
4047,Tailor 4047,Toris,Table Top Basin,,
4048,Alice 4048,Toris,Table Top Basin,,
4049,Torin 4049,Toris,Table Top Basin,,
4050,Tommy 4050,Toris,Table Top Basin,,
4051,Mini Tokyo 4051,Toris,Table Top Basin,,
4052,Asphalt 4052,Toris,Table Top Basin,,
4053,Travis 4053,Toris,Table Top Basin,,
4054,Teza 4054,Toris,Table Top Basin,,
4055,Tuna 4055,Toris,Table Top Basin,,
4056,Texa 4056,Toris,Table Top Basin,,
4057,Theory B 4057,Toris,Table Top Basin,,
4058,Tom A 4058,Toris,Table Top Basin,,
4059,Tom B 4059,Toris,Table Top Basin,,
4060,Tulip 4060,Toris,Table Top Basin,,
4061,Ant 4061,Toris,Table Top Basin,,
4062,Cruze 4062,Toris,Table Top Basin,,
